,,,,X,X,X,X,X,X,X,Y,Y,Y,,,
,,,2,3,980,784,0.8,20,0,5,972,1.81,3.3,,,118
,,,3,3,980,784,0.8,20,0,5,963,1.54,2.9,,,119
,,,4,3,970,776,0.8,30,0,5,968,1.51,2.7,,,120
,,,5,3,970,776,0.8,30,0,5,931,1.77,2.9,,,121
,,,6,3,970,776,0.8,30,0,5,942,1.52,3,,,122
,,,7,3,960,768,0.8,40,0,5,940,1.59,2.5,,,123
,,,8,3,960,768,0.8,40,0,5,929,1.22,2.7,,,124
,,,9,3,960,768,0.8,40,0,5,920,1.27,2.4,,,125
,,,10,3,950,760,0.8,50,0,5,906,1.25,2.2,,,126
,,,11,3,950,760,0.8,50,0,5,929,1.4,2.3,,,127
,,,12,3,950,760,0.8,50,0,5,910,1.41,2,,,128
,,,13,3,940,752,0.8,60,0,5,904,0.93,1.8,,,129
,,,14,3,940,752,0.8,60,0,5,906,1.47,2,,,130
,,,15,3,940,752,0.8,60,0,5,898,1.29,1.7,,,131
,,,16,3,980,882,0.9,20,0,5,903,1.51,2.5,,,132
,,,17,3,980,882,0.9,20,0,5,907,1.56,2.5,,,133
,,,18,3,980,882,0.9,20,0,5,904,1.4,2.4,,,134
,,,19,3,970,873,0.9,30,0,5,867,1.23,1.7,,,135
,,,20,3,970,873,0.9,30,0,5,872,1.26,2.3,,,136
,,,21,3,970,873,0.9,30,0,5,865,1.27,2,,,137
,,,22,3,960,864,0.9,40,0,5,872,1.03,2.1,,,138
,,,23,3,960,864,0.9,40,0,5,889,1.04,1.9,,,139
,,,24,3,960,864,0.9,40,0,5,872,1.17,1.8,,,140
,,,25,3,950,855,0.9,50,0,5,845,0.86,1.4,,,141
,,,26,3,950,855,0.9,50,0,5,863,1.03,1.7,,,142
,,,27,3,950,855,0.9,50,0,5,858,1.23,1.8,,,143
,,,28,3,940,846,0.9,60,0,5,872,1.25,1.8,,,144
,,,29,3,940,846,0.9,60,0,5,837,0.87,1.7,,,145
,,,30,3,940,846,0.9,60,0,5,845,1.03,1.7,,,146
,,,31,3,980,980,1,20,0,5,852,1.23,1.9,,,147
,,,32,3,980,980,1,20,0,5,894,1.71,2.8,,,148
,,,33,3,980,980,1,20,0,5,847,1.17,2.1,,,149
,,,34,3,970,970,1,30,0,5,837,1.19,2,,,150
,,,35,3,970,970,1,30,0,5,849,1.23,2.1,,,151
,,,36,3,970,970,1,30,0,5,838,1.24,2,,,152
,,,37,3,960,960,1,40,0,5,812,1.08,1.2,,,153
,,,38,3,960,960,1,40,0,5,832,1.14,1.6,,,154
,,,39,3,960,960,1,40,0,5,823,0.19,1.8,,,155
,,,40,3,950,950,1,50,0,5,800,0.69,1.2,,,156
,,,41,3,950,950,1,50,0,5,809,1.01,1.7,,,157
,,,42,3,950,950,1,50,0,5,805,0.83,1.5,,,158
,,,43,3,940,940,1,60,0,5,760,0.54,1.1,,,159
,,,44,3,940,940,1,60,0,5,790,0.94,1.4,,,160
,,,45,3,940,940,1,60,0,5,819,1.01,1.6,,,161
